Name,Career Domain,Extracted Personality Traits,Life Patterns or Behavioral Themes,Representative Evidence,Sentiment Tone,Birthdate,Insen_1,Insen_2,Insen_3,Insen_4,Insen_5,Insen_6,Insen_7,Insen_8,Insen_9,頭 (Head),胸 (Chest),腹 (Stomach),右手 (Right Hand),左手 (Left Hand),左肩 (Left Shoulder),左足 (Left Leg),右足 (Right Leg),Tenchusatsu
Paz Márquez-Benítez,Educator/Writer,"Pioneering, Influential, Dedicated, Culturally-rooted, Observational, Mentoring","Shaped Filipino literature in English, Mentored generations of writers, Founded educational publications, Achieved critical acclaim","Filipino short-story writer, educator and editor; Developed and taught a course in short story writing for 35 years; Her story 'Dead Stars' became critically acclaimed; Co-founded the Philippine Educational Magazine",Positive,1955-04-07,乙,未,庚,辰,戊,戌,己,乙,辛,牽牛,牽牛,鳳閣,調舒,石門,天堂,天南,天庫,辰巳
Efren Peñaflorida,Educator/Activist,"Empathetic, Innovative, Dedicated, Resilient, Community-focused, Inspiring","Provided education to underprivileged youth, Founded a youth movement, Achieved international recognition, Overcame personal adversity",Filipino teacher and development worker; Offers Filipino youth an alternative to street gangs through education; Founded the Dynamic Teen Company; Named CNN Hero of the Year,Positive,1894-03-03,甲,午,丙,寅,甲,辰,丁,甲,乙,貫索,貫索,鳳閣,石門,調舒,天極,天祿,天堂,寅卯
Thích Nhất Hạnh,Religious Leader/Activist,"Peaceful, Influential, Prolific, Mindful, Compassionate, Resilient","Founded Plum Village Tradition, Advocated for peace during Vietnam War, Popularized mindfulness in West, Faced exile and persecution","Vietnamese Thiền Buddhist monk, peace activist, prolific author, poet, and teacher; Known as the 'father of mindfulness'; Advocated for peace and reconciliation during the Vietnam War; Founded the Plum Village Tradition",Positive,1981-03-05,辛,酉,庚,寅,壬,午,辛,甲,丁,玉堂,鳳閣,龍高,司禄,玉堂,天恍,天胡,天報,申酉
Trần Văn Bang,Activist/Engineer,"Pro-democracy, Courageous, Persistent, Critical, Principled, Resilient","Advocated for human rights and democracy, Faced political persecution, Utilized social media for activism, Challenged government policies","Vietnamese pro-democracy activist, blogger, and former soldier; Became well known for his posts on Facebook; Has campaigned in support of environmental and human rights; Faced arrest and imprisonment for his activism",Positive,1926-10-11,丙,寅,戊,戌,癸,酉,甲,辛,辛,司禄,龍高,牽牛,龍高,調舒,天恍,天堂,天胡,戌亥
Pramoedya Ananta Toer,Writer,"Resilient, Critical, Narrative-driven, Influential, Persistent, Socially-conscious","Chronicled Indonesian history, Faced political persecution and imprisonment, Achieved international literary acclaim, Explored themes of colonialism and injustice","Prominent Indonesian writer; Imprisoned for many years for his political views; His works often explored themes of colonialism, nationalism, and social justice; Achieved international recognition despite censorship",Positive,1961-03-01,辛,丑,庚,寅,癸,巳,己,甲,丙,龍高,調舒,玉堂,司禄,車騎,天南,天恍,天報,午未
Mochtar Lubis,Journalist/Novelist,"Investigative, Courageous, Principled, Critical, Resilient, Influential","Championed press freedom, Exposed corruption, Faced repeated imprisonment, Achieved literary and journalistic acclaim",Indonesian journalist and novelist; Co-founded Indonesia Raya and Horison magazine; Imprisoned numerous times for his critical writing; Known for his outspokenness about freedom of the press,Positive,1925-02-06,乙,丑,戊,寅,辛,酉,己,甲,辛,禄存,司禄,玉堂,貫索,龍高,天印,天報,天祿,子丑
Syed Babar Ali,Entrepreneur/Philanthropist,"Visionary, Entrepreneurial, Philanthropic, Influential, Nationalistic, Academic","Founded major companies, Contributed to education and conservation, Shaped national economy, Held prominent international roles","Pakistani businessman, philanthropist and former caretaker Finance Minister; Founder of Packages Limited and LUMS; Served as International President of WWF; Believes in joint venture philosophy",Positive,1922-03-07,壬,戌,癸,卯,甲,戌,辛,乙,辛,龍高,石門,玉堂,牽牛,牽牛,天印,天将,天印,申酉
James Caan,Entrepreneur,"Entrepreneurial, Resilient, Ambitious, Philanthropic, Influential, Self-made","Built successful businesses, Achieved television personality status, Overcame early challenges, Contributed to charity",British-Pakistani entrepreneur and television personality; Known for his role on Dragons' Den; Left home at 16 to pursue his career; Has founded and invested in numerous businesses,Positive,1926-06-30,丙,寅,甲,午,庚,寅,甲,丁,甲,車騎,牽牛,禄存,禄存,禄存,天馳,天恍,天馳,午未
Sohn Kee-chung,Athlete,"Disciplined, Resilient, Patriotic, Competitive, Pioneering, Enduring","Achieved Olympic gold despite oppression, Represented Korea under duress, Mentored future athletes, Became a national symbol","Korean Olympic athlete and long-distance runner; Won gold in the marathon at the 1936 Berlin Olympics, forced to compete for Japan; Set an Olympic record; Coached other notable runners",Positive,1960-12-28,庚,子,戊,子,庚,寅,癸,癸,甲,貫索,調舒,龍高,禄存,調舒,天極,天極,天馳,午未
Kim Jun-ho,Athlete,"Disciplined, Competitive, Team-oriented, Focused, Record-setting, Versatile","Achieved Olympic and World Championship success, Contributed to team victories, Maintained high performance, Balanced sports and family life",South Korean right-handed sabre fencer; Three-time team Asian champion and world champion; 2021 team Olympic champion; Appeared on 'The Return of Superman' with his son,Positive,1912-08-29,壬,子,戊,申,丁,丑,癸,庚,己,牽牛,司禄,調舒,鳳閣,車騎,天馳,天恍,天庫,申酉
Niels Fredrik Dahl,"Novelist, poet, playwright","Creative, Driven, Disciplined, Recognized for Achievement, Ambitious, Persistent","Consistent pursuit of literary success, Dedication to craft, Public recognition of talent, Potential for sustained productivity, Success in competitive literary fields","Winning the Brage Prize (2002) and the Norwegian Ibsen Award (2002) indicates significant achievement and recognition in the literary field.
Winning the Nordic Council Literature Prize (2024) demonstrates sustained success and continued ambition.
Multiple references to his work in Norwegian encyclopedias and news sources suggest a consistent presence and impact in Norwegian literature.",Positive,1957-05-11,丁,酉,乙,巳,癸,未,辛,丙,己,禄存,司禄,鳳閣,車騎,龍高,天胡,天報,天庫,申酉
Phil Carruthers,"Politician, attorney, judge","Leadership-oriented, Ambitious, Strategic, Public-serving, Disciplined, Results-driven, Collaborative (within a political context), Power-oriented (seeking influence and authority)","Progressive career advancement within political structures, Transition from legislative to judicial role suggesting a shift in focus from policy-making to legal interpretation and application, Evidence of sustained commitment to public service across multiple roles, Potential for internal conflict between political ambition and commitment to justice or fairness (requires further evidence from other sources to confirm)","Served as Speaker of the Minnesota House of Representatives (indicates leadership and strategic political maneuvering)
Appointment as a judge (suggests a desire for greater influence and a commitment to the judicial process)
Long tenure in various political positions (suggests ambition, resilience, and dedication to public service)
The list of Speakers and Majority Leaders, where Carruthers is placed in a sequence of powerful figures, suggests a pattern of success within the political system (implies ambition and strategic acumen)",Neutral,1953-12-08,癸,巳,甲,子,癸,巳,丙,癸,丙,貫索,貫索,調舒,司禄,司禄,天報,天祿,天報,午未
Jock Hutton,Footballer (Scottish professional),"Determined, Competitive, Disciplined, Ambitious, Resilient, Team-Oriented, Leader","Early Career Success and Recognition, Strategic Career Progression (club transfers), Transition to Management Role, Achievement-Oriented, Dedication to Sport","Signed for Aberdeen and debuted in the same year (demonstrates ambition and drive)
Became Aberdeen's most-capped player (highlights competitiveness and dedication)
Joined Blackburn Rovers for a record transfer fee (indicates ambition and strategic career moves)
Won an FA Cup winner's medal (demonstrates achievement orientation and team success)
Managed Linfield in the 1940s (shows leadership and transition to a new career phase)
Represented Scotland national team (highlights team-oriented nature and national pride)",Positive,1898-10-29,戊,戌,壬,戌,乙,丑,辛,辛,己,司禄,車騎,玉堂,禄存,車騎,天庫,天庫,天堂,戌亥
Peter Gutwein,Politician (Premier of Tasmania),"Resilient, Ambitious, Determined, Independent, Assertive, Pragmatic, Conflict-Tolerant, Strong-Willed, Disciplined, Risk-Taking, Competitive","Overcoming Adversity, Political Ambition and Power, Public Service Motivation (with complex drivers), Strategic Risk Taking, Internal Conflict Management (or Suppression), Public Scrutiny and Controversy","Migrating to Australia as a child, demonstrates resilience and adaptability.
Successful political career, climbing to Premier, shows ambition and determination.
Aggressive stance with AFL, yet agreeing to concessions, highlights pragmatism and strategic risk-taking.
Crossing the floor in parliament despite potential consequences, reveals independent thinking and strong will.
Managing a country pub before politics, indicates diverse experiences and adaptability.
Child sexual abuse revelation and subsequent political career, shows resilience and capacity for compartmentalization.
Multiple suspensions from parliament, suggests a conflict-tolerant or even confrontational style.
Referred to the Legislative Council for contempt, indicates assertive and potentially less compromising approach.",Mixed,1964-12-21,甲,辰,丙,子,甲,辰,乙,癸,乙,貫索,玉堂,鳳閣,石門,石門,天堂,天恍,天堂,寅卯
Bob Bennie,Footballer (Scottish),"Persistent, Resilient, Determined, Adaptable, Disciplined, Team-Oriented, Ambitious, Goal-Oriented","Late-blooming athletic career, Balancing multiple priorities (work and sport), Commitment to self-improvement, Demonstrates perseverance in the face of challenges, Capacity for significant role transitions (defender to forward)","Gave up playing football at 16 but returned to senior football in 2012.
Worked several different jobs while playing football before joining Brighton.
Continued working full-time alongside her playing career prior to joining Brighton.
Successfully transitioned from defender to centre-forward role, scoring goals.
Achieved 86 caps and 22 goals for the Wales women's national football team.
Named in Wales' squad for UEFA Women's Euro 2025.",Positive,1900-03-27,庚,子,己,卯,己,亥,癸,乙,壬,調舒,車騎,貫索,司禄,禄存,天馳,天胡,天報,辰巳
Douglas Erwin,"Paleobiologist, Curator & Research Scientist (Smithsonian)","Intellectual, Curious, Analytical, Methodical, Persistent, Dedicated, Detail-oriented, Disciplined, Independent, Patient","Dedicated to rigorous research and scholarship, Focus on long-term projects requiring sustained effort, Strong commitment to scientific advancement and knowledge dissemination, Likely a preference for independent work or collaboration on a select basis, Potential for deep immersion in specific areas of study, possibly to the exclusion of other aspects of life","His affiliation with prestigious institutions (Santa Fe Institute) suggests a high level of accomplishment and recognition within the paleontology community.
The extensive list of authority control databases indicates a significant contribution to the field.
The nature of paleontological research, requiring meticulous data analysis and interpretation, points towards methodical and patient work habits.
His work on 'Extinction' suggests an interest in large-scale processes and long-term consequences.",Neutral,1958-07-03,戊,戌,戊,午,辛,巳,辛,丁,丙,玉堂,車騎,玉堂,牽牛,貫索,天南,天胡,天極,申酉
Edward Glen,Actor & Voice Actor (Canadian),"Versatile, Adaptable, Resilient, Persistent, Dedicated, Prolific","Consistent career pursuit across diverse mediums (voice acting and live action), Acceptance of varied project success levels (critical and commercial), Long-term commitment to acting profession (spanning decades)","Continued acting in theatre since 1985
Extensive voice acting work in anime and animated shows
Role as Thomas the Tank Engine despite the film's negative reception
Work in diverse live-action roles across television shows and films",Neutral,1966-11-27,丙,午,己,亥,庚,寅,丁,壬,甲,車騎,鳳閣,玉堂,禄存,牽牛,天恍,天胡,天馳,午未
Keith Boanas,"Football coach (women’s football, Wales)","Dedicated, Mentoring, Driven, Resilient, Persistent, Results-Oriented, Patient, Leadership-focused, Adaptable","Consistent pursuit of coaching excellence across various levels and contexts (men's and women's football, youth development, national teams), Commitment to nurturing talent and developing future generations of players and coaches, Demonstrates a willingness to adapt and evolve his career path, taking on diverse roles and challenges, Experience of both significant success and setbacks, showcasing resilience and perseverance","His long and varied career in coaching, spanning semi-professional to national team levels.
His work with numerous England women's internationals and his involvement in youth development programs.
His willingness to relocate to Estonia to restructure youth development and coach education.
Reaching multiple FA Women's Cup finals, winning one, and navigating the closure of Charlton Ladies' section.
His authorship of youth development manuals and delivery of coaching courses worldwide.",Positive,1959-04-22,己,亥,戊,辰,甲,戌,壬,乙,辛,司禄,石門,禄存,牽牛,龍高,天貴,天堂,天印,申酉
Dave Willis,"Television writer, producer, voice actor (US)","Creative, Humorous, Independent, Persistent, Unconventional, Playful, Surrealist, Risk-Taking, Bold","Consistent pursuit of creative expression through unconventional means, Success through bold self-promotion and unique approaches, Collaboration with like-minded individuals, Resilience in the face of rejection (e.g., Cheyenne Cinnamon pilot), Preference for surreal and absurdist humor as a primary mode of communication","Hiring by Ghost Planet Industries based on a crayon-written letter of recommendation
Creation of surreal humor-based shows like Aqua Teen Hunger Force and Squidbillies
Continued work in animation despite rejection of Cheyenne Cinnamon pilot
Collaboration with Matt Maiellaro on numerous projects
Use of unconventional humor as a defining characteristic of his work",Positive,1970-05-01,庚,戌,庚,辰,辛,巳,辛,乙,丙,石門,禄存,石門,牽牛,貫索,天南,天庫,天極,申酉
Stuart Clark,"Astrophysicist, Researcher (UK)","High Achiever, Competitive, Resilient, Sensitive, Ambitious, Self-Aware (to a degree), Potentially Insecure","High-pressure performance driven, Experiences of both triumph and setback, Balancing personal and professional life, Sensitivity to external pressures (media, selectors)","'immediate impact on the game, dismissing Graeme Smith early...five wickets'
'leading wicket-taker of the series'
'forgettable tour...one wicket'
'released from duty...compassionate leave to attend the birth of his son'
'maintained his spot above Jason Gillespie'",Mixed,1975-09-28,乙,卯,乙,酉,丁,丑,乙,辛,己,龍高,禄存,龍高,鳳閣,龍高,天胡,天貴,天庫,申酉
Veronica Henry,Author — contemporary British novelist,"Creative, Prolific, Adaptable, Resilient, Driven, Versatile, Disciplined, Successful, Independent, Family-Oriented","Successful career transition from screenwriting to novel writing, Consistent productivity and output across different creative mediums, Balancing personal life (family) with a demanding career, Achieving significant recognition and awards in her field, Demonstrates a pattern of pursuing and achieving ambitious goals","Successfully transitioned from BBC production secretary and scriptwriter to a prolific and award-winning novelist.
Published over 20 bestselling novels and numerous short stories across multiple publishers.
Successfully juggled career demands with raising three sons.
Won 'Romantic Novel of the Year' award.
Her consistent output of novels and screenplays across decades shows a strong work ethic and commitment.",Positive,1963-05-18,癸,卯,丁,巳,辛,酉,乙,丙,辛,鳳閣,牽牛,車騎,貫索,禄存,天馳,天極,天祿,子丑
Kjersti Beck,Journalist / News Anchor (Norwegian),"Competitive, Disciplined, Team-Oriented, Resilient, Determined, High Achievement Oriented","Dedication to athletic excellence, Commitment to teamwork and collaboration, Consistent pursuit of goals, Potential for high stress tolerance and pressure performance","Participation in multiple medal-winning championships (indicates high competitive drive and sustained dedication)
Membership in a team handball team (demonstrates team-oriented behavior and collaborative skills)
Sustained career in professional handball (suggests resilience, discipline, and long-term goal orientation)",Positive,1979-09-01,己,未,壬,申,辛,未,己,庚,己,龍高,石門,調舒,龍高,龍高,天堂,天将,天堂,戌亥
Denzil Williams,"Rugby union player (Welsh, prop forward)","Disciplined, Team-Oriented, Physically Robust, Competitive, Determined, Resilient, Dedicated","Commitment to Physical Excellence, Teamwork and Collaboration, Achievement-Oriented, Dedication to a Specific Sport","Participation in the 1966 British Lions tour to Australia and New Zealand indicates a high level of commitment and dedication to rugby.
His inclusion in various rugby teams (Ebbw Vale RFC, Tredegar RFC, Wales international) highlights a collaborative and team-oriented nature.
Playing as a prop forward suggests physical strength and resilience.
The high level of competition in professional rugby points to a competitive spirit and drive for success.",Positive,1938-09-17,戊,寅,辛,酉,壬,子,甲,辛,癸,車騎,玉堂,玉堂,石門,鳳閣,天胡,天恍,天将,寅卯
Masaru Setsumaru,Business executive (Japanese technology sector),"Visionary, Risk-taking, Creative, Competitive, Independent, Boisterous, Showman, Resilient, Underdog Mentality, Confident (at times overconfident), Innovative","Pioneering and disruptive innovation in the video game industry, Periods of significant success followed by setbacks and adaptation, A strong focus on creative expression and market disruption, Challenges in maintaining long-term success and managing organizational growth, A history of bold decisions, some successful, some leading to significant challenges, A complex relationship with risk-taking, balancing innovation with potential for failure, A strong sense of brand identity, even amidst struggles","'It's boisterous, broad and with a neat sense of showmanship running through its range.'
'Sega was one of the most active, creative, and productive developers the industry has ever known'
'Sega had innovated by developing games for an older demographic and pioneering the “street date” concept'
'a tragic spectacle of overconfidence and woefully misguided business practice'
'I feel like Sega has never been the champion... but I feel like a lot of people love Sega because of the underdog image.'
'the Saturn will go down in history as one of the most troubled, and greatest, systems of all time'
'Sega's decisions in the late 1990s were...woefully misguided business practice'",Mixed,1946-10-15,丙,戌,戊,戌,壬,戌,辛,辛,辛,禄存,玉堂,車騎,玉堂,玉堂,天南,天南,天南,子丑
Tadashi Yamashita,Martial artist & actor (Okinawa-Japan & US),"Disciplined, Determined, Resilient, Competitive, Driven, Adaptable, Independent, Strong-willed, Confident, Dedicated","Early adversity leading to self-reliance, Dedication to martial arts as a core life structure, International success and recognition, Combination of traditional and innovative approaches, Capacity for both physical and creative expression (martial arts and film)","Began martial arts at 11 after picking fights, suggesting a need to channel aggression.
Awarded black belt at 16, demonstrating early mastery and discipline.
Captured All-Okinawan Shorin-Ryu Free Sparring Grand Championship Title in 1960, highlighting competitive spirit.
Moved to the US in 1966 and became a citizen, showcasing adaptability and independence.
Achieved 10th Dan in both Karatedo and Kobudo, reflecting unwavering dedication.
Developed Suikendo, a unique martial arts system, illustrating innovation within tradition.
Career spanning martial arts and film acting, showing diverse talents and expressions.",Positive,1942-02-05,辛,巳,壬,寅,己,丑,丙,甲,己,鳳閣,牽牛,司禄,貫索,玉堂,天将,天極,天庫,午未
Sarah Vine,Journalist & Columnist (British),"Assertive, Opinionated, Independent, Contentious, Ambitious, Strategic, Cunning, Articulate, Provocative, Observant, Judgmental, Self-assured","Expresses strong opinions publicly, often provoking controversy, Strategic career progression and social maneuvering, Uses writing as a platform for expressing personal beliefs and values, Demonstrates a complex relationship with social class and hierarchy, Navigates family life within a high-profile political context","""Its agenda is a fundamentally selective one, based not only on ability to pay, but also on pupil potential. And it is also, let's face it, about snobbery""
criticised private education
celebrated the 'miracle' of state education
criticised Labour Party leader Ed Miliband, his wife and their 'forlorn little kitchen'
In the same column, she reported that her own kitchen was '10 years old' and that the 'hob has many knobs missing'
advised her husband not to back Boris Johnson's bid to become leader of the Conservative Party unless 'specific assurances' were given to him
Vine suggested that this was a 'twisted interpretation'
In November 2014, she wrote a column criticising food writer and activist Jack Monroe...
received the Columnist of the Year – Popular (2018) award",Mixed,1967-04-16,丁,未,甲,辰,庚,戌,己,乙,辛,牽牛,司禄,禄存,石門,玉堂,天南,天印,天堂,寅卯
Emma Pollock,Singer-songwriter & musician (Scottish indie band),"Prolific, Collaborative, Independent, Resilient, Driven, Persistent","Consistent creative output across different projects and collaborations, Adaptability to various musical styles and working environments, Strong sense of self-direction and independence in career choices, Demonstrates a sustained commitment to her artistic endeavors","Founding member of the Delgados, then solo career, then collaboration with The Burns Unit and other artists.
Work with diverse artists like Future Pilot A.K.A., Karine Polwart, King Creosote, and David Gedge.
Signing a solo recording contract after band break-up suggests independence and self-reliance.
Consistent release of albums and singles across multiple years indicates persistence and drive.",Positive,1971-08-14,辛,亥,丙,申,辛,未,壬,庚,己,貫索,石門,牽牛,龍高,調舒,天恍,天将,天堂,戌亥
R. Lance Hill,Screenwriter & Film Writer (US/Canada),"Persistent, Resilient, Driven, Creative, Assertive, Protective of Intellectual Property, Independent, Confident","Success in a competitive field despite setbacks, Strong sense of ownership and protectiveness over creative work, Navigating Hollywood's complexities and power dynamics, Demonstrates sustained career focus with long-term projects","His first novel was optioned multiple times, yet remained unfilmed, showcasing persistence.
His continued work in screenwriting despite initial setbacks demonstrates resilience.
His successful screenplays for major films reveal his drive and creativity.
His legal action against the 2024 Road House remake shows his assertiveness and protectiveness of his intellectual property.
Successfully navigating multiple studio deals and collaborations demonstrates independence and confidence.
His repeated efforts to control the rights to his Road House screenplay highlights a strong sense of ownership.
His long career spanning several decades reflects sustained career focus.",Mixed,1943-02-17,癸,未,甲,寅,丙,午,己,甲,丁,牽牛,龍高,龍高,石門,調舒,天堂,天貴,天将,寅卯
Juliet Harmer,Actress & author (British TV & children’s books),"Creative, Sensitive, Nostalgic, Introspective, Independent, Nature-Oriented, Family-Oriented, Resilient, Adaptable","Artistic Expression as Emotional Processing, Balancing Creative Pursuits with Family Life, Following Multiple Passions (Art, Acting, Writing), Shifting Career Priorities Based on Life Stages, Appreciation for Nature and Simplicity","'My inspiration comes from nature...I paint what makes me happy. These fleeting moments are so precious- perhaps painting is a way of capturing them.' (Emotional connection to art)
'Perhaps I also paint to compensate for a feeling of loss- the loss of innocence, the loss of childhood...' (Art as coping mechanism)
Returning to painting and working with children after the birth of her daughter (Prioritizing family)
Initial career in teaching and acting, later focusing on writing and illustrating children's books (Adaptability and shifting priorities)
Her work described as having 'an almost melodic simplicity' and 'jewel-like intensity' (Reflects her artistic style and appreciation for nature's beauty)
Her multiple careers in acting, teaching, and children's book illustration (Following multiple passions)",Positive,1941-05-11,辛,巳,癸,巳,己,未,丙,丙,己,鳳閣,玉堂,禄存,貫索,玉堂,天将,天将,天南,子丑
Charles DeChant,Saxophonist & composer (American rock musician),"Highly skilled and versatile musician, Collaborative and team-oriented, Proactive and driven, Adaptable and resilient, Creative and expressive, Entrepreneurial and self-sufficient","Sustained career dedication and longevity in the music industry, Consistent pursuit of diverse musical opportunities and collaborations, Successful transition into multiple creative roles (writer, producer, solo artist, instructor), Maintenance of a geographically rooted personal life alongside extensive touring and collaboration","Playing in Hall & Oates since 1976
Plays saxophone, flute, piano, and guitar
Played with Mick Jagger, Tina Turner, Billy Joel, etc.
Is a writer, producer, solo artist, and offers an online saxophone course
Plays with local bands in Orlando, Florida
Toured with Hall & Oates throughout the 2010s
Sometime member of Daryl Hall's band for Live from Daryl's House",Positive,1945-06-10,乙,酉,壬,午,庚,戌,辛,丁,辛,司禄,牽牛,鳳閣,石門,石門,天将,天恍,天堂,寅卯
Rick Goodman,Video game designer / producer (RTS genre),"Visionary, Driven, Independent, Creative, Persistent, Risk-Taking, Decisive (sometimes impulsive), Ambitious, Innovative","Serial Entrepreneurship, Pursuit of Creative Excellence, Relishes Challenges, Independent Work Style, Strong sense of self-direction, Potential for Impulsivity in Decision-Making","Co-founded Ensemble Studios and later Stainless Steel Studios, demonstrating entrepreneurial drive.
Lead designer of Age of Empires and creator of Empire Earth, showcasing creative vision and execution.
Leaving established companies to pursue independent ventures reflects independence and risk tolerance.
The anecdote about choosing a studio name randomly hints at impulsive decision-making, yet the successful outcomes point to inherent decisiveness.
Consistently pushing boundaries in game design indicates ambition and a relentless pursuit of innovation.
The creation of multiple successful games highlights persistence and a strong work ethic.
The development of games spanning vast historical periods demonstrates a visionary scope.",Positive,1955-10-28,乙,未,丙,戌,壬,戌,己,辛,辛,調舒,玉堂,禄存,玉堂,牽牛,天印,天南,天南,子丑
Dexter Goei,"Business executive (Media & Telecommunications, US)","Ambitious, Driven, Strategic, High-Achieving, Risk-Taking, International Orientation, Globally Minded, Financially Accomplished, Family-Oriented (implied), Competitive","Ascendant Career Trajectory, Strategic Acquisition and Consolidation, International Mobility (family and career), High-Pressure Environment Tolerance, Potential for Calculated Risk-Taking","Graduated from Georgetown University's Walsh School of Foreign Service, indicating a focus on international relations and high academic achievement.
Worked at JP Morgan and Morgan Stanley, suggesting a calculated career path within elite financial institutions.
Led Altice's entrance into the US market through major acquisitions (Cablevision and Suddenlink), demonstrating strategic thinking and risk tolerance.
Served as CEO of Altice N.V. and Chairman and CEO of Altice USA, highlighting significant leadership and managerial capabilities.
His family background, with parents of Chinese-Indonesian and Dutch descent, and his own international education and career, points to a strong international orientation.",Positive,1971-08-23,辛,亥,丙,申,庚,辰,壬,庚,乙,石門,貫索,車騎,司禄,鳳閣,天胡,天祿,天印,申酉
Lage Lund,Jazz guitarist & Composer (Norwegian-American),"Driven, Disciplined, Ambitious, Competitive, Resilient, Dedicated, Talented, Confident, Collaborative","Early exploration of diverse interests (skateboarding to music), Consistent pursuit of musical excellence through rigorous training and competition, Strategic career building through networking and high-profile collaborations, Dedication to mastering a craft through formal education and continuous practice","Initially aspiring to become a professional skateboarder, later playing guitar at the age of 13
earned a scholarship...Berklee College of Music
recipient of a Fulbright Foundation grant
entered the Juilliard School scholarship jazz program
won the Thelonious Monk International Jazz Competition in 2005
He has worked with Seamus Blake, Ingrid Jensen, Carmen Lundy, Wynton Marsalis, Eric Revis, Ron Carter, Mulgrew Miller, and Maria Schneider",Positive,1977-12-12,丁,巳,壬,子,癸,卯,丙,癸,乙,禄存,貫索,石門,鳳閣,司禄,天報,天祿,天貴,辰巳
Lina Renna,Voice actress & audiobook narrator (British-Italian),"Insecure, Impulsive, Emotionally Reactive, Self-Critical, Envious, Seeking Validation, Rebellious, Intensely Relational, Sensitive, Yearns for Connection","Intense Family Conflicts, Turbulent Friendships, Difficulty Navigating Romantic Relationships, Self-Destructive Behaviors, Seeking Mentorship, Grappling with Grief and Loss, Desire for Connection despite Relational Difficulties, Growth through Conflict and Self-Reflection","tempestuous relationships with her popular older brother Darian and her image-conscious mother Mona
Nadine and Krista get extremely drunk
Nadine finds Krista with Darian in bed, straining the girls' friendship
failed attempts at mingling, Nadine sits outside with another partygoer, who remarks how inferior Nadine seems compared to her brother
inept attempts to attract him
Nadine rejects his attempt to kiss her
Nadine says Krista must choose between her or Darian
Nadine steals Mona's car
writes a sexually explicit text to Nick, and accidentally sends it much to her horror
Nadine flippantly tells Mr. Bruner she is going to kill herself
Nadine tells Darian about her own feelings of self-hatred and envy
Erwin's animated film is about an alien boy who falls in love with a girl at high school but is rejected. The girl resembles Nadine and wears sneakers similar to hers
Nadine apologizes for taking so long to accept his affection",Mixed,1997-02-21,丁,丑,壬,寅,甲,午,己,甲,丁,調舒,貫索,龍高,調舒,司禄,天南,天祿,天極,辰巳
Michael Rowse,Civil servant & banker (Hong Kong-based),"Independent, Adventurous, Resourceful, Persistent, Ambitious, Risk-taking, Adaptable, Resilient, Driven, Pragmatic, Negotiator","Early Life Independence and Wanderlust, Career Progression through Calculated Risk, Commitment to Public Service, Navigating Political Landscape, Overcoming Adversity","Set off to travel the world at age 23 despite lack of financial security.
Worked in a low-budget guesthouse in Bangkok, writing articles for Thai newspapers.
Worked as a reporter covering corruption and crime before joining the Hong Kong ICAC.
Successfully negotiated the Hong Kong Disneyland Resort deal.
Became the first director of the Financial Secretary's Office and Commissioner for Tourism, navigating complex political contexts.
His ability to adapt to diverse environments, from Bangkok guesthouses to high-level government positions, showcases his resourcefulness and adaptability.
Facing the HarbourFest controversy demonstrates his resilience and experience in navigating political challenges.",Mixed,1948-12-21,戊,子,甲,子,庚,辰,癸,癸,乙,龍高,調舒,禄存,司禄,調舒,天極,天極,天印,申酉
Steve Tompkins,Television writer & story editor,"Creative, Adaptable, Humorous, Persistent, Detail-Oriented, Collaborative, Problem-Solving","Overcoming Creative Challenges, Collaboration and Teamwork, Iterative Creative Process, Willingness to Compromise","Contributed significantly to Simpsons seasons 7 and 8
Wrote the sequence in ""Homer's Phobia"" where Homer takes Bart to a steel mill that turns out to be a gay dance club.
Pitched an initial idea (longshoremen) and adapted it when faced with animation difficulties (steel mill).
""It was decided that it 'didn't really service the story' and was dropped."" (showing willingness to compromise and accept feedback)
Contributed to multiple Simpsons episodes in various roles
Worked with Josh Weinstein and Bill Oakley",Positive,1960-09-15,庚,子,乙,酉,丙,午,癸,辛,丁,禄存,司禄,玉堂,石門,牽牛,天報,天極,天将,寅卯
Brian Trenchard-Smith,Film director & producer (Australian genre cinema),"Driven, Visionary, Proactive, Leader, Creative, Results-Oriented, Adaptable, Independent, Enthusiastic, Humorous, Strategic, Detail-Oriented","Early Creative Expression, Resourceful Adaptation to Challenges, Strong Leadership Style, Mentorship and Team Building, Consistent Pursuit of Creative Vision, Influence of Early Mentors","Made his first film at age 15
Unable to get into the union so he moved to Australia in 1965
'There is something you always get in a Trenchard-Smith movie: pace, a strong visual sense'
'Be a good leader, kind father, energetic brigade commander to your cast and crew'
'humour is much more effective in team management'
'try to make your own enthusiasm for the project contagious to everybody'
His main influences growing up were Alfred Hitchcock, Henry Hathaway, Anthony Mann, J. Lee Thompson, Robert Aldrich, Raoul Walsh, King Vidor and John Ford
Plan well. Shot list. Make every hour of shooting count.",Positive,1946-03-14,丙,戌,辛,卯,丁,亥,辛,乙,壬,石門,龍高,禄存,牽牛,禄存,天印,天胡,天報,午未
